timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_3_load,path_1_loss,path_2_loss,path_3_loss,total_loss
0,27.730481171165916,path_1,2.0,path_1,2.0,path_1,2.0,path_1,5.36,path_1,2.0,path_1,2.0,path_1,5.13,path_1,2.0,path_1,3.24,path_1,2.0,10.73,17.8,5.14,0.0,0.0,0.0,0.0
1,37.73048117116592,path_1,3.0,path_1,3.0,path_1,3.0,path_1,6.36,path_1,3.0,path_1,3.0,path_1,6.13,path_1,3.0,path_1,4.24,path_1,3.0,27.73,0,0,0.0,0.0,0.0,0.0
2,47.73048117116592,path_1,4.0,path_1,4.0,path_1,4.0,path_1,7.36,path_1,4.0,path_1,4.0,path_1,7.13,path_1,4.0,path_1,5.24,path_1,4.0,37.73,0,0,0.0,0.0,0.0,0.0
3,57.73048117116592,path_1,5.0,path_1,5.0,path_1,5.0,path_1,8.36,path_1,5.0,path_1,5.0,path_1,8.13,path_1,5.0,path_1,6.24,path_1,5.0,47.73,0,0,0.0,0.0,0.0,0.0
4,67.73048117116592,path_1,6.0,path_1,6.0,path_1,6.0,path_1,9.36,path_1,6.0,path_1,6.0,path_1,9.13,path_1,6.0,path_1,7.24,path_1,6.0,57.73,0,0,0.0,0.0,0.0,0.0
5,77.73048117116592,path_1,7.0,path_1,7.0,path_1,7.0,path_1,10.36,path_1,7.0,path_1,7.0,path_1,10.13,path_1,7.0,path_1,8.24,path_1,7.0,67.73,0,0,0.0,0.0,0.0,0.0
6,87.73048117116592,path_1,8.0,path_1,8.0,path_1,8.0,path_1,11.36,path_1,8.0,path_1,8.0,path_1,11.13,path_1,8.0,path_1,9.24,path_1,8.0,77.73,0,0,0.0,0.0,0.0,0.0
7,97.73048117116592,path_1,9.0,path_1,9.0,path_1,9.0,path_1,12.36,path_1,9.0,path_1,9.0,path_1,12.13,path_1,9.0,path_1,10.24,path_1,9.0,87.73,0,0,0.0,0.0,0.0,0.0
8,107.73048117116592,path_1,10.0,path_1,10.0,path_1,10.0,path_1,13.36,path_1,10.0,path_1,10.0,path_1,13.13,path_1,10.0,path_1,11.24,path_1,10.0,97.73,0,0,0.0,0.0,0.0,0.0
9,53.86524058558296,path_1,5.0,path_1,5.0,path_1,5.0,path_1,6.68,path_1,5.0,path_1,5.0,path_1,6.56,path_1,5.0,path_1,5.62,path_1,5.0,107.73,0,0,7.73,0.0,0.0,7.73
10,63.86524058558296,path_1,6.0,path_1,6.0,path_1,6.0,path_1,7.68,path_1,6.0,path_1,6.0,path_1,7.56,path_1,6.0,path_1,6.62,path_1,6.0,53.87,0,0,0.0,0.0,0.0,0.0
11,73.86524058558295,path_1,7.0,path_1,7.0,path_1,7.0,path_1,8.68,path_1,7.0,path_1,7.0,path_1,8.56,path_1,7.0,path_1,7.62,path_1,7.0,63.87,0,0,0.0,0.0,0.0,0.0
12,83.86524058558295,path_1,8.0,path_1,8.0,path_1,8.0,path_1,9.68,path_1,8.0,path_1,8.0,path_1,9.56,path_1,8.0,path_1,8.62,path_1,8.0,73.87,0,0,0.0,0.0,0.0,0.0
13,93.86524058558295,path_1,9.0,path_1,9.0,path_1,9.0,path_1,10.68,path_1,9.0,path_1,9.0,path_1,10.56,path_1,9.0,path_1,9.62,path_1,9.0,83.87,0,0,0.0,0.0,0.0,0.0
14,103.86524058558295,path_1,10.0,path_1,10.0,path_1,10.0,path_1,11.68,path_1,10.0,path_1,10.0,path_1,11.56,path_1,10.0,path_1,10.62,path_1,10.0,93.87,0,0,0.0,0.0,0.0,0.0
15,51.932620292791476,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.84,path_1,5.0,path_1,5.0,path_1,5.78,path_1,5.0,path_1,5.31,path_1,5.0,103.87,0,0,3.87,0.0,0.0,3.87
16,61.932620292791476,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.84,path_1,6.0,path_1,6.0,path_1,6.78,path_1,6.0,path_1,6.31,path_1,6.0,51.93,0,0,0.0,0.0,0.0,0.0
17,71.93262029279148,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.84,path_1,7.0,path_1,7.0,path_1,7.78,path_1,7.0,path_1,7.31,path_1,7.0,61.93,0,0,0.0,0.0,0.0,0.0
18,81.93262029279148,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.84,path_1,8.0,path_1,8.0,path_1,8.78,path_1,8.0,path_1,8.31,path_1,8.0,71.93,0,0,0.0,0.0,0.0,0.0
19,91.93262029279148,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.84,path_1,9.0,path_1,9.0,path_1,9.78,path_1,9.0,path_1,9.31,path_1,9.0,81.93,0,0,0.0,0.0,0.0,0.0
20,101.93262029279148,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.84,path_1,10.0,path_1,10.0,path_1,10.78,path_1,10.0,path_1,10.31,path_1,10.0,91.93,0,0,0.0,0.0,0.0,0.0
21,50.96631014639574,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.42,path_1,5.0,path_1,5.0,path_1,5.39,path_1,5.0,path_1,5.16,path_1,5.0,101.93,0,0,1.93,0.0,0.0,1.93
22,60.96631014639574,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.42,path_1,6.0,path_1,6.0,path_1,6.39,path_1,6.0,path_1,6.16,path_1,6.0,50.97,0,0,0.0,0.0,0.0,0.0
23,70.96631014639574,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.42,path_1,7.0,path_1,7.0,path_1,7.39,path_1,7.0,path_1,7.16,path_1,7.0,60.97,0,0,0.0,0.0,0.0,0.0
24,80.96631014639574,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.42,path_1,8.0,path_1,8.0,path_1,8.39,path_1,8.0,path_1,8.16,path_1,8.0,70.97,0,0,0.0,0.0,0.0,0.0
25,90.96631014639574,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.42,path_1,9.0,path_1,9.0,path_1,9.39,path_1,9.0,path_1,9.16,path_1,9.0,80.97,0,0,0.0,0.0,0.0,0.0
26,100.96631014639574,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.42,path_1,10.0,path_1,10.0,path_1,10.39,path_1,10.0,path_1,10.16,path_1,10.0,90.97,0,0,0.0,0.0,0.0,0.0
27,50.48315507319787,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.21,path_1,5.0,path_1,5.0,path_1,5.2,path_1,5.0,path_1,5.08,path_1,5.0,100.97,0,0,0.97,0.0,0.0,0.97
28,60.48315507319787,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.21,path_1,6.0,path_1,6.0,path_1,6.2,path_1,6.0,path_1,6.08,path_1,6.0,50.48,0,0,0.0,0.0,0.0,0.0
29,70.48315507319786,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.21,path_1,7.0,path_1,7.0,path_1,7.2,path_1,7.0,path_1,7.08,path_1,7.0,60.48,0,0,0.0,0.0,0.0,0.0
30,80.48315507319788,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.21,path_1,8.0,path_1,8.0,path_1,8.2,path_1,8.0,path_1,8.08,path_1,8.0,70.48,0,0,0.0,0.0,0.0,0.0
31,90.48315507319788,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.21,path_1,9.0,path_1,9.0,path_1,9.2,path_1,9.0,path_1,9.08,path_1,9.0,80.48,0,0,0.0,0.0,0.0,0.0
32,100.48315507319788,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.21,path_1,10.0,path_1,10.0,path_1,10.2,path_1,10.0,path_1,10.08,path_1,10.0,90.48,0,0,0.0,0.0,0.0,0.0
33,50.24157753659894,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.11,path_1,5.0,path_1,5.0,path_1,5.1,path_1,5.0,path_1,5.04,path_1,5.0,100.48,0,0,0.48,0.0,0.0,0.48
34,60.24157753659894,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.11,path_1,6.0,path_1,6.0,path_1,6.1,path_1,6.0,path_1,6.04,path_1,6.0,50.24,0,0,0.0,0.0,0.0,0.0
35,70.24157753659894,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.11,path_1,7.0,path_1,7.0,path_1,7.1,path_1,7.0,path_1,7.04,path_1,7.0,60.24,0,0,0.0,0.0,0.0,0.0
36,80.24157753659894,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.11,path_1,8.0,path_1,8.0,path_1,8.1,path_1,8.0,path_1,8.04,path_1,8.0,70.24,0,0,0.0,0.0,0.0,0.0
37,90.24157753659894,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.11,path_1,9.0,path_1,9.0,path_1,9.1,path_1,9.0,path_1,9.04,path_1,9.0,80.24,0,0,0.0,0.0,0.0,0.0
38,100.24157753659894,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.11,path_1,10.0,path_1,10.0,path_1,10.1,path_1,10.0,path_1,10.04,path_1,10.0,90.24,0,0,0.0,0.0,0.0,0.0
39,50.12078876829947,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.05,path_1,5.0,path_1,5.0,path_1,5.05,path_1,5.0,path_1,5.02,path_1,5.0,100.24,0,0,0.24,0.0,0.0,0.24
40,60.12078876829947,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.05,path_1,6.0,path_1,6.0,path_1,6.05,path_1,6.0,path_1,6.02,path_1,6.0,50.12,0,0,0.0,0.0,0.0,0.0
41,70.12078876829946,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.05,path_1,7.0,path_1,7.0,path_1,7.05,path_1,7.0,path_1,7.02,path_1,7.0,60.12,0,0,0.0,0.0,0.0,0.0
42,80.12078876829946,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.05,path_1,8.0,path_1,8.0,path_1,8.05,path_1,8.0,path_1,8.02,path_1,8.0,70.12,0,0,0.0,0.0,0.0,0.0
43,90.12078876829946,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.05,path_1,9.0,path_1,9.0,path_1,9.05,path_1,9.0,path_1,9.02,path_1,9.0,80.12,0,0,0.0,0.0,0.0,0.0
44,100.12078876829946,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.05,path_1,10.0,path_1,10.0,path_1,10.05,path_1,10.0,path_1,10.02,path_1,10.0,90.12,0,0,0.0,0.0,0.0,0.0
45,50.06039438414973,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.03,path_1,5.0,path_1,5.0,path_1,5.02,path_1,5.0,path_1,5.01,path_1,5.0,100.12,0,0,0.12,0.0,0.0,0.12
46,60.06039438414973,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.03,path_1,6.0,path_1,6.0,path_1,6.02,path_1,6.0,path_1,6.01,path_1,6.0,50.06,0,0,0.0,0.0,0.0,0.0
47,70.06039438414973,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.03,path_1,7.0,path_1,7.0,path_1,7.02,path_1,7.0,path_1,7.01,path_1,7.0,60.06,0,0,0.0,0.0,0.0,0.0
48,80.06039438414973,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.03,path_1,8.0,path_1,8.0,path_1,8.02,path_1,8.0,path_1,8.01,path_1,8.0,70.06,0,0,0.0,0.0,0.0,0.0
49,90.06039438414973,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.03,path_1,9.0,path_1,9.0,path_1,9.02,path_1,9.0,path_1,9.01,path_1,9.0,80.06,0,0,0.0,0.0,0.0,0.0
50,100.06039438414973,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.03,path_1,10.0,path_1,10.0,path_1,10.02,path_1,10.0,path_1,10.01,path_1,10.0,90.06,0,0,0.0,0.0,0.0,0.0
51,50.030197192074866,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.0,100.06,0,0,0.06,0.0,0.0,0.06
52,60.030197192074866,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.0,50.03,0,0,0.0,0.0,0.0,0.0
53,70.03019719207487,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.0,60.03,0,0,0.0,0.0,0.0,0.0
54,80.03019719207487,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.0,70.03,0,0,0.0,0.0,0.0,0.0
55,90.03019719207487,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.0,80.03,0,0,0.0,0.0,0.0,0.0
56,100.03019719207487,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.0,90.03,0,0,0.0,0.0,0.0,0.0
57,50.01509859603743,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.0,100.03,0,0,0.03,0.0,0.0,0.03
58,60.01509859603743,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.0,50.02,0,0,0.0,0.0,0.0,0.0
59,70.01509859603743,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.0,60.02,0,0,0.0,0.0,0.0,0.0
60,80.01509859603743,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.0,70.02,0,0,0.0,0.0,0.0,0.0
61,90.01509859603743,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.0,80.02,0,0,0.0,0.0,0.0,0.0
62,100.01509859603743,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.0,90.02,0,0,0.0,0.0,0.0,0.0
63,50.007549298018716,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.02,0,0,0.02,0.0,0.0,0.02
64,60.007549298018716,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.01,0,0,0.0,0.0,0.0,0.0
65,70.00754929801872,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.01,0,0,0.0,0.0,0.0,0.0
66,80.00754929801872,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.01,0,0,0.0,0.0,0.0,0.0
67,90.00754929801872,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.01,0,0,0.0,0.0,0.0,0.0
68,100.00754929801872,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.01,0,0,0.0,0.0,0.0,0.0
69,50.00377464900936,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.01,0,0,0.01,0.0,0.0,0.01
70,60.00377464900936,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0,0.0,0.0,0.0,0.0
71,70.00377464900936,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0,0.0,0.0,0.0,0.0
72,80.00377464900936,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0,0.0,0.0,0.0,0.0
73,90.00377464900936,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0,0.0,0.0,0.0,0.0
74,100.00377464900936,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0,0.0,0.0,0.0,0.0
75,50.00188732450468,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0,0.0,0.0,0.0,0.0
76,60.00188732450468,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0,0.0,0.0,0.0,0.0
77,70.00188732450468,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0,0.0,0.0,0.0,0.0
78,80.00188732450468,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0,0.0,0.0,0.0,0.0
79,90.00188732450468,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0,0.0,0.0,0.0,0.0
80,100.00188732450468,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0,0.0,0.0,0.0,0.0
81,50.00094366225234,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0,0.0,0.0,0.0,0.0
82,60.00094366225234,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0,0.0,0.0,0.0,0.0
83,70.00094366225234,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0,0.0,0.0,0.0,0.0
84,80.00094366225234,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0,0.0,0.0,0.0,0.0
85,90.00094366225234,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0,0.0,0.0,0.0,0.0
86,100.00094366225234,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0,0.0,0.0,0.0,0.0
87,50.00047183112617,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0,0.0,0.0,0.0,0.0
88,60.00047183112617,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0,0.0,0.0,0.0,0.0
89,70.00047183112616,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0,0.0,0.0,0.0,0.0
90,80.00047183112616,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0,0.0,0.0,0.0,0.0
91,90.00047183112616,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0,0.0,0.0,0.0,0.0
92,100.00047183112616,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0,0.0,0.0,0.0,0.0
93,50.00023591556308,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0,0.0,0.0,0.0,0.0
94,60.00023591556308,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0,0.0,0.0,0.0,0.0
95,70.00023591556308,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0,0.0,0.0,0.0,0.0
96,80.00023591556308,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0,0.0,0.0,0.0,0.0
