timestep,total_throughput,agent_0_path,agent_0_cwnd,agent_1_path,agent_1_cwnd,agent_2_path,agent_2_cwnd,agent_3_path,agent_3_cwnd,agent_4_path,agent_4_cwnd,agent_5_path,agent_5_cwnd,agent_6_path,agent_6_cwnd,agent_7_path,agent_7_cwnd,agent_8_path,agent_8_cwnd,agent_9_path,agent_9_cwnd,path_1_load,path_2_load,path_3_load
0,24.337247891507083,path_1,2.0,path_1,2.16,path_1,2.18,path_1,3.89,path_1,2.0,path_1,2.09,path_1,4.02,path_1,2.0,path_1,2.0,path_1,2.0,9.34,4.59,9.04
1,34.33724789150708,path_1,3.0,path_1,3.16,path_1,3.18,path_1,4.89,path_1,3.0,path_1,3.09,path_1,5.02,path_1,3.0,path_1,3.0,path_1,3.0,24.34,0,0
2,44.33724789150708,path_1,4.0,path_1,4.16,path_1,4.18,path_1,5.89,path_1,4.0,path_1,4.09,path_1,6.02,path_1,4.0,path_1,4.0,path_1,4.0,34.34,0,0
3,54.33724789150708,path_1,5.0,path_1,5.16,path_1,5.18,path_1,6.89,path_1,5.0,path_1,5.09,path_1,7.02,path_1,5.0,path_1,5.0,path_1,5.0,44.34,0,0
4,64.33724789150709,path_1,6.0,path_1,6.16,path_1,6.18,path_1,7.89,path_1,6.0,path_1,6.09,path_1,8.02,path_1,6.0,path_1,6.0,path_1,6.0,54.34,0,0
5,74.33724789150709,path_1,7.0,path_1,7.16,path_1,7.18,path_1,8.89,path_1,7.0,path_1,7.09,path_1,9.02,path_1,7.0,path_1,7.0,path_1,7.0,64.34,0,0
6,84.33724789150709,path_1,8.0,path_1,8.16,path_1,8.18,path_1,9.89,path_1,8.0,path_1,8.09,path_1,10.02,path_1,8.0,path_1,8.0,path_1,8.0,74.34,0,0
7,94.33724789150709,path_1,9.0,path_1,9.16,path_1,9.18,path_1,10.89,path_1,9.0,path_1,9.09,path_1,11.02,path_1,9.0,path_1,9.0,path_1,9.0,84.34,0,0
8,104.33724789150709,path_1,10.0,path_1,10.16,path_1,10.18,path_1,11.89,path_1,10.0,path_1,10.09,path_1,12.02,path_1,10.0,path_1,10.0,path_1,10.0,94.34,0,0
9,52.168623945753545,path_1,5.0,path_1,5.08,path_1,5.09,path_1,5.94,path_1,5.0,path_1,5.04,path_1,6.01,path_1,5.0,path_1,5.0,path_1,5.0,104.34,0,0
10,62.168623945753545,path_1,6.0,path_1,6.08,path_1,6.09,path_1,6.94,path_1,6.0,path_1,6.04,path_1,7.01,path_1,6.0,path_1,6.0,path_1,6.0,52.17,0,0
11,72.16862394575354,path_1,7.0,path_1,7.08,path_1,7.09,path_1,7.94,path_1,7.0,path_1,7.04,path_1,8.01,path_1,7.0,path_1,7.0,path_1,7.0,62.17,0,0
12,82.16862394575354,path_1,8.0,path_1,8.08,path_1,8.09,path_1,8.94,path_1,8.0,path_1,8.04,path_1,9.01,path_1,8.0,path_1,8.0,path_1,8.0,72.17,0,0
13,92.16862394575354,path_1,9.0,path_1,9.08,path_1,9.09,path_1,9.94,path_1,9.0,path_1,9.04,path_1,10.01,path_1,9.0,path_1,9.0,path_1,9.0,82.17,0,0
14,102.16862394575354,path_1,10.0,path_1,10.08,path_1,10.09,path_1,10.94,path_1,10.0,path_1,10.04,path_1,11.01,path_1,10.0,path_1,10.0,path_1,10.0,92.17,0,0
15,51.08431197287677,path_1,5.0,path_1,5.04,path_1,5.04,path_1,5.47,path_1,5.0,path_1,5.02,path_1,5.51,path_1,5.0,path_1,5.0,path_1,5.0,102.17,0,0
16,61.08431197287677,path_1,6.0,path_1,6.04,path_1,6.04,path_1,6.47,path_1,6.0,path_1,6.02,path_1,6.51,path_1,6.0,path_1,6.0,path_1,6.0,51.08,0,0
17,71.08431197287678,path_1,7.0,path_1,7.04,path_1,7.04,path_1,7.47,path_1,7.0,path_1,7.02,path_1,7.51,path_1,7.0,path_1,7.0,path_1,7.0,61.08,0,0
18,81.08431197287678,path_1,8.0,path_1,8.04,path_1,8.04,path_1,8.47,path_1,8.0,path_1,8.02,path_1,8.51,path_1,8.0,path_1,8.0,path_1,8.0,71.08,0,0
19,91.08431197287678,path_1,9.0,path_1,9.04,path_1,9.04,path_1,9.47,path_1,9.0,path_1,9.02,path_1,9.51,path_1,9.0,path_1,9.0,path_1,9.0,81.08,0,0
20,101.08431197287678,path_1,10.0,path_1,10.04,path_1,10.04,path_1,10.47,path_1,10.0,path_1,10.02,path_1,10.51,path_1,10.0,path_1,10.0,path_1,10.0,91.08,0,0
21,50.54215598643839,path_1,5.0,path_1,5.02,path_1,5.02,path_1,5.24,path_1,5.0,path_1,5.01,path_1,5.25,path_1,5.0,path_1,5.0,path_1,5.0,101.08,0,0
22,60.54215598643839,path_1,6.0,path_1,6.02,path_1,6.02,path_1,6.24,path_1,6.0,path_1,6.01,path_1,6.25,path_1,6.0,path_1,6.0,path_1,6.0,50.54,0,0
23,70.54215598643839,path_1,7.0,path_1,7.02,path_1,7.02,path_1,7.24,path_1,7.0,path_1,7.01,path_1,7.25,path_1,7.0,path_1,7.0,path_1,7.0,60.54,0,0
24,80.54215598643839,path_1,8.0,path_1,8.02,path_1,8.02,path_1,8.24,path_1,8.0,path_1,8.01,path_1,8.25,path_1,8.0,path_1,8.0,path_1,8.0,70.54,0,0
25,90.54215598643839,path_1,9.0,path_1,9.02,path_1,9.02,path_1,9.24,path_1,9.0,path_1,9.01,path_1,9.25,path_1,9.0,path_1,9.0,path_1,9.0,80.54,0,0
26,100.54215598643839,path_1,10.0,path_1,10.02,path_1,10.02,path_1,10.24,path_1,10.0,path_1,10.01,path_1,10.25,path_1,10.0,path_1,10.0,path_1,10.0,90.54,0,0
27,50.271077993219194,path_1,5.0,path_1,5.01,path_1,5.01,path_1,5.12,path_1,5.0,path_1,5.01,path_1,5.13,path_1,5.0,path_1,5.0,path_1,5.0,100.54,0,0
28,60.271077993219194,path_1,6.0,path_1,6.01,path_1,6.01,path_1,6.12,path_1,6.0,path_1,6.01,path_1,6.13,path_1,6.0,path_1,6.0,path_1,6.0,50.27,0,0
29,70.2710779932192,path_1,7.0,path_1,7.01,path_1,7.01,path_1,7.12,path_1,7.0,path_1,7.01,path_1,7.13,path_1,7.0,path_1,7.0,path_1,7.0,60.27,0,0
30,80.2710779932192,path_1,8.0,path_1,8.01,path_1,8.01,path_1,8.12,path_1,8.0,path_1,8.01,path_1,8.13,path_1,8.0,path_1,8.0,path_1,8.0,70.27,0,0
31,90.2710779932192,path_1,9.0,path_1,9.01,path_1,9.01,path_1,9.12,path_1,9.0,path_1,9.01,path_1,9.13,path_1,9.0,path_1,9.0,path_1,9.0,80.27,0,0
32,100.2710779932192,path_1,10.0,path_1,10.01,path_1,10.01,path_1,10.12,path_1,10.0,path_1,10.01,path_1,10.13,path_1,10.0,path_1,10.0,path_1,10.0,90.27,0,0
33,50.1355389966096,path_1,5.0,path_1,5.01,path_1,5.01,path_1,5.06,path_1,5.0,path_1,5.0,path_1,5.06,path_1,5.0,path_1,5.0,path_1,5.0,100.27,0,0
34,60.1355389966096,path_1,6.0,path_1,6.01,path_1,6.01,path_1,6.06,path_1,6.0,path_1,6.0,path_1,6.06,path_1,6.0,path_1,6.0,path_1,6.0,50.14,0,0
35,70.1355389966096,path_1,7.0,path_1,7.01,path_1,7.01,path_1,7.06,path_1,7.0,path_1,7.0,path_1,7.06,path_1,7.0,path_1,7.0,path_1,7.0,60.14,0,0
36,80.1355389966096,path_1,8.0,path_1,8.01,path_1,8.01,path_1,8.06,path_1,8.0,path_1,8.0,path_1,8.06,path_1,8.0,path_1,8.0,path_1,8.0,70.14,0,0
37,90.1355389966096,path_1,9.0,path_1,9.01,path_1,9.01,path_1,9.06,path_1,9.0,path_1,9.0,path_1,9.06,path_1,9.0,path_1,9.0,path_1,9.0,80.14,0,0
38,100.1355389966096,path_1,10.0,path_1,10.01,path_1,10.01,path_1,10.06,path_1,10.0,path_1,10.0,path_1,10.06,path_1,10.0,path_1,10.0,path_1,10.0,90.14,0,0
39,50.0677694983048,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.03,path_1,5.0,path_1,5.0,path_1,5.03,path_1,5.0,path_1,5.0,path_1,5.0,100.14,0,0
40,60.0677694983048,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.03,path_1,6.0,path_1,6.0,path_1,6.03,path_1,6.0,path_1,6.0,path_1,6.0,50.07,0,0
41,70.0677694983048,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.03,path_1,7.0,path_1,7.0,path_1,7.03,path_1,7.0,path_1,7.0,path_1,7.0,60.07,0,0
42,80.0677694983048,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.03,path_1,8.0,path_1,8.0,path_1,8.03,path_1,8.0,path_1,8.0,path_1,8.0,70.07,0,0
43,90.0677694983048,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.03,path_1,9.0,path_1,9.0,path_1,9.03,path_1,9.0,path_1,9.0,path_1,9.0,80.07,0,0
44,100.0677694983048,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.03,path_1,10.0,path_1,10.0,path_1,10.03,path_1,10.0,path_1,10.0,path_1,10.0,90.07,0,0
45,50.0338847491524,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.02,path_1,5.0,path_1,5.0,path_1,5.0,100.07,0,0
46,60.0338847491524,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.02,path_1,6.0,path_1,6.0,path_1,6.0,50.03,0,0
47,70.0338847491524,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.02,path_1,7.0,path_1,7.0,path_1,7.0,60.03,0,0
48,80.0338847491524,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.02,path_1,8.0,path_1,8.0,path_1,8.0,70.03,0,0
49,90.0338847491524,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.02,path_1,9.0,path_1,9.0,path_1,9.0,80.03,0,0
50,100.0338847491524,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.02,path_1,10.0,path_1,10.0,path_1,10.0,90.03,0,0
51,50.0169423745762,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.01,path_1,5.0,path_1,5.0,path_1,5.0,100.03,0,0
52,60.0169423745762,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.01,path_1,6.0,path_1,6.0,path_1,6.0,50.02,0,0
53,70.0169423745762,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.01,path_1,7.0,path_1,7.0,path_1,7.0,60.02,0,0
54,80.0169423745762,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.01,path_1,8.0,path_1,8.0,path_1,8.0,70.02,0,0
55,90.0169423745762,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.01,path_1,9.0,path_1,9.0,path_1,9.0,80.02,0,0
56,100.0169423745762,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.01,path_1,10.0,path_1,10.0,path_1,10.0,90.02,0,0
57,50.0084711872881,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.02,0,0
58,60.0084711872881,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.01,0,0
59,70.00847118728811,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.01,0,0
60,80.00847118728811,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.01,0,0
61,90.00847118728811,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.01,0,0
62,100.00847118728811,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.01,0,0
63,50.004235593644054,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.01,0,0
64,60.004235593644054,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0
65,70.00423559364405,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0
66,80.00423559364405,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0
67,90.00423559364405,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0
68,100.00423559364405,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0
69,50.00211779682203,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0
70,60.00211779682203,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0
71,70.00211779682202,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0
72,80.00211779682203,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0
73,90.00211779682203,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0
74,100.00211779682203,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0
75,50.00105889841102,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0
76,60.00105889841102,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0
77,70.00105889841102,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0
78,80.00105889841102,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0
79,90.00105889841102,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0
80,100.00105889841102,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0
81,50.00052944920551,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0
82,60.00052944920551,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0
83,70.0005294492055,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0
84,80.0005294492055,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0
85,90.0005294492055,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0
86,100.0005294492055,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0
87,50.00026472460275,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0
88,60.00026472460275,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0
89,70.00026472460276,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0
90,80.00026472460276,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0
91,90.00026472460276,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,path_1,9.0,80.0,0,0
92,100.00026472460276,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,path_1,10.0,90.0,0,0
93,50.00013236230138,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,path_1,5.0,100.0,0,0
94,60.00013236230138,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,path_1,6.0,50.0,0,0
95,70.00013236230137,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,path_1,7.0,60.0,0,0
96,80.00013236230137,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,path_1,8.0,70.0,0,0
